id_biblioteca,nombre_biblioteca,id_depto,año_fundacion,dominio_email
2022,Bib.Pop. Rómulo S. Naón,6749,1939.0,gmail
4030,Bib.Pop. Dra. Alicia Moreau de Justo,6749,2000.0,
4031,Bib.Pop. La Casa de las palabras,6749,2001.0,
3060,Bib.Pop. Club de madres de B.Sauce,6756,1980.0,
4061,Bib.Pop.y Ctro. Cultural de Beccar,6756,1982.0,
4188,Bib.Pop. Cava Joven,6756,1980.0,yahoo
192,Bib.Pop. Bernardino Rivadavia,6756,1913.0,
223,Bib.Pop. Juan M. de Pueyrredón,6756,,
3690,Bib.Pop. de la Ribera,6756,1980.0,
3866,Bib.Pop. La Calabria Popular,6756,1980.0,
287,Bib.Pop. Gral. San Martín,6371,1914.0,yahoo
4175,Bib.Pub.Pop. Parlante Nuevo Ser,6371,1980.0,hotmail
4393,La Carcova,6371,2022.0,
3628,Bib. Pop. Roberto Clemente,6371,1980.0,
3960,Bib.Pop. Martín Fierro,6371,1980.0,
